# John the Ripper format-test conformance, one line per format.
# Regenerate with `go test -run TestJohnFormatConformance -args -update-john-baseline`.
md5ns	CRACKED
nsec3	CRACKED
NT	CRACKED
o10glogon	NOT-DETECTED
o3logon	NOT-DETECTED
o5logon	NOT-DETECTED
ODF	CRACKED
Office	CRACKED
oldoffice	CRACKED
OpenBSD-SoftRAID	NOT-DETECTED
openssl-enc	NOT-DETECTED
oracle	CRACKED
oracle11	CRACKED
Oracle12C	NOT-DETECTED
osc	NOT-DETECTED
ospf	NOT-DETECTED
Padlock	NOT-DETECTED
Palshop	NOT-DETECTED
Panama	NOT-FOUND
PBKDF2-HMAC-MD4	NOT-DETECTED
PBKDF2-HMAC-MD5	NOT-DETECTED
PBKDF2-HMAC-SHA1	REJECTED
PBKDF2-HMAC-SHA256	CRACKED
PBKDF2-HMAC-SHA512	CRACKED
PDF	CRACKED
PEM	CRACKED
pfx	NOT-DETECTED
pgpdisk	NOT-DETECTED
pgpsda	NOT-DETECTED
pgpwde	NOT-DETECTED
phpass	CRACKED
PHPS	CRACKED
PHPS2	CRACKED
pix-md5	CRACKED
PKZIP	NOT-DETECTED
po	NOT-FOUND
postgres	CRACKED
PST	NOT-DETECTED
PuTTY	NOT-DETECTED
pwsafe	CRACKED
qnx	CRACKED
RACF	CRACKED
RACF-KDFAES	REJECTED
radius	NOT-DETECTED
RAdmin	NOT-DETECTED
RAKP	NOT-DETECTED
rar	CRACKED
RAR5	CRACKED
Raw-SHA512	CRACKED
Raw-Blake2	CRACKED
Raw-Keccak	NOT-FOUND
Raw-Keccak-256	CRACKED
Raw-MD4	CRACKED
Raw-MD5	CRACKED
Raw-MD5u	NOT-FOUND
Raw-SHA1	CRACKED
Raw-SHA1-AxCrypt	NOT-FOUND
Raw-SHA1-Linkedin	NOT-FOUND
Raw-SHA224	CRACKED
Raw-SHA256	CRACKED
Raw-SHA3	NOT-FOUND
Raw-SHA384	CRACKED
ripemd-128	NOT-FOUND
ripemd-160	NOT-FOUND
rsvp	NOT-DETECTED
Siemens-S7	NOT-DETECTED
Salted-SHA1	CRACKED
SSHA512	CRACKED
sapb	CRACKED
sapg	CRACKED
saph	CRACKED
sappse	NOT-DETECTED
securezip	CRACKED
7z	REJECTED
Signal	CRACKED
SIP	CRACKED
skein-256	NOT-FOUND
skein-512	NOT-DETECTED
skey	NOT-DETECTED
SL3	NOT-DETECTED
Snefru-128	NOT-FOUND
Snefru-256	NOT-DETECTED
LastPass	NOT-DETECTED
SNMP	CRACKED
solarwinds	NOT-FOUND
SSH	CRACKED
sspr	CRACKED
STRIP	NOT-DETECTED
SunMD5	NOT-DETECTED
SybaseASE	CRACKED
Sybase-PROP	NOT-DETECTED
tacacs-plus	CRACKED
tcp-md5	NOT-DETECTED
telegram	CRACKED
tezos	NOT-DETECTED
Tiger	NOT-DETECTED
tc_aes_xts	NOT-DETECTED
tc_ripemd160	NOT-DETECTED
tc_ripemd160boot	NOT-DETECTED
tc_sha512	NOT-DETECTED
tc_whirlpool	NOT-DETECTED
vdi	NOT-DETECTED
OpenVMS	NOT-DETECTED
vmx	REJECTED
VNC	CRACKED
vtp	NOT-DETECTED
wbb3	NOT-DETECTED
whirlpool	NOT-FOUND
whirlpool0	NOT-FOUND
whirlpool1	NOT-FOUND
wpapsk	NOT-DETECTED
wpapsk-pmk	NOT-DETECTED
xmpp-scram	CRACKED
xsha	NOT-DETECTED
xsha512	NOT-DETECTED
ZIP	CRACKED
ZipMonster	NOT-DETECTED
plaintext	NOT-DETECTED
has-160	NOT-FOUND
HMAC-MD5	NOT-DETECTED
HMAC-SHA1	NOT-DETECTED
HMAC-SHA224	NOT-DETECTED
HMAC-SHA256	NOT-DETECTED
HMAC-SHA384	NOT-DETECTED
HMAC-SHA512	NOT-DETECTED
sha1crypt-opencl	NOT-FOUND
KeePass-opencl	REJECTED
oldoffice-opencl	CRACKED
PBKDF2-HMAC-MD4-opencl	NOT-DETECTED
PBKDF2-HMAC-MD5-opencl	NOT-DETECTED
PBKDF2-HMAC-SHA1-opencl	REJECTED
rar-opencl	CRACKED
RAR5-opencl	CRACKED
TrueCrypt-opencl	NOT-DETECTED
lotus5-opencl	NOT-FOUND
AndroidBackup-opencl	CRACKED
agilekeychain-opencl	NOT-DETECTED
ansible-opencl	CRACKED
axcrypt-opencl	CRACKED
axcrypt2-opencl	CRACKED
bcrypt-opencl	CRACKED
BitLocker-opencl	CRACKED
bitwarden-opencl	CRACKED
blockchain-opencl	CRACKED
cloudkeychain-opencl	NOT-DETECTED
md5crypt-opencl	CRACKED
sha256crypt-opencl	CRACKED
sha512crypt-opencl	CRACKED
dashlane-opencl	NOT-DETECTED
descrypt-opencl	CRACKED
diskcryptor-opencl	CRACKED
diskcryptor-aes-opencl	CRACKED
dmg-opencl	REJECTED
electrum-modern-opencl	CRACKED
EncFS-opencl	CRACKED
enpass-opencl	NOT-DETECTED
ethereum-opencl	CRACKED
ethereum-presale-opencl	CRACKED
FVDE-opencl	CRACKED
geli-opencl	NOT-DETECTED
gpg-opencl	CRACKED
iwork-opencl	CRACKED
keychain-opencl	CRACKED
keyring-opencl	NOT-DETECTED
keystore-opencl	NOT-DETECTED
krb5pa-md5-opencl	CRACKED
krb5pa-sha1-opencl	REJECTED
krb5asrep-aes-opencl	REJECTED
lp-opencl	NOT-DETECTED
lpcli-opencl	NOT-DETECTED
LM-opencl	NOT-DETECTED
mscash-opencl	NOT-DETECTED
mscash2-opencl	NOT-DETECTED
mysql-sha1-opencl	CRACKED
notes-opencl	CRACKED
NT-opencl	CRACKED
ntlmv2-opencl	NOT-FOUND
o5logon-opencl	NOT-DETECTED
ODF-opencl	CRACKED
office-opencl	CRACKED
OpenBSD-SoftRAID-opencl	NOT-DETECTED
PBKDF2-HMAC-SHA256-opencl	CRACKED
PBKDF2-HMAC-SHA512-opencl	CRACKED
pem-opencl	CRACKED
pfx-opencl	NOT-DETECTED
pgpdisk-opencl	NOT-DETECTED
pgpsda-opencl	NOT-DETECTED
pgpwde-opencl	NOT-DETECTED
PHPass-opencl	CRACKED
pwsafe-opencl	CRACKED
RAKP-opencl	NOT-DETECTED
raw-MD4-opencl	CRACKED
raw-MD5-opencl	CRACKED
raw-SHA1-opencl	CRACKED
raw-SHA256-opencl	CRACKED
raw-SHA512-free-opencl	CRACKED
raw-SHA512-opencl	CRACKED
salted-SHA1-opencl	CRACKED
sappse-opencl	NOT-DETECTED
7z-opencl	REJECTED
SL3-opencl	NOT-DETECTED
solarwinds-opencl	NOT-FOUND
ssh-opencl	CRACKED
sspr-opencl	CRACKED
strip-opencl	NOT-DETECTED
telegram-opencl	CRACKED
tezos-opencl	NOT-DETECTED
vmx-opencl	REJECTED
wpapsk-opencl	NOT-DETECTED
wpapsk-pmk-opencl	NOT-DETECTED
XSHA512-free-opencl	NOT-DETECTED
XSHA512-opencl	NOT-DETECTED
ZIP-opencl	CRACKED
dynamic_0	NOT-DETECTED
dynamic_1	NOT-DETECTED
dynamic_2	NOT-DETECTED
dynamic_3	NOT-DETECTED
dynamic_4	NOT-DETECTED
dynamic_5	NOT-DETECTED
dynamic_6	NOT-DETECTED
dynamic_8	NOT-DETECTED
dynamic_9	NOT-DETECTED
dynamic_10	NOT-DETECTED
dynamic_11	NOT-DETECTED
dynamic_12	NOT-DETECTED
dynamic_13	NOT-DETECTED
dynamic_14	NOT-DETECTED
dynamic_15	NOT-DETECTED
dynamic_16	NOT-DETECTED
dynamic_18	NOT-DETECTED
dynamic_19	NOT-DETECTED
dynamic_20	NOT-DETECTED
dynamic_22	NOT-DETECTED
dynamic_23	NOT-DETECTED
dynamic_24	NOT-DETECTED
dynamic_25	NOT-DETECTED
dynamic_26	NOT-DETECTED
dynamic_29	NOT-DETECTED
dynamic_30	NOT-DETECTED
dynamic_31	NOT-DETECTED
dynamic_32	NOT-DETECTED
dynamic_33	NOT-DETECTED
dynamic_34	NOT-DETECTED
dynamic_35	NOT-DETECTED
dynamic_36	NOT-DETECTED
dynamic_37	NOT-DETECTED
dynamic_38	NOT-DETECTED
dynamic_39	NOT-DETECTED
dynamic_40	NOT-DETECTED
dynamic_50	NOT-DETECTED
dynamic_60	NOT-DETECTED
dynamic_61	NOT-DETECTED
dynamic_70	NOT-DETECTED
dynamic_80	NOT-DETECTED
dynamic_90	NOT-DETECTED
dynamic_100	NOT-DETECTED
dynamic_110	NOT-DETECTED
dynamic_120	NOT-DETECTED
dynamic_130	NOT-DETECTED
dynamic_140	NOT-DETECTED
dynamic_150	NOT-DETECTED
dynamic_160	NOT-DETECTED
dynamic_170	NOT-DETECTED
dynamic_180	NOT-DETECTED
dynamic_190	NOT-DETECTED
dynamic_200	NOT-DETECTED
dynamic_210	NOT-DETECTED
dynamic_220	NOT-DETECTED
dynamic_230	NOT-DETECTED
dynamic_240	NOT-DETECTED
dynamic_250	NOT-DETECTED
dynamic_260	NOT-DETECTED
dynamic_270	NOT-DETECTED
dynamic_280	NOT-DETECTED
dynamic_290	NOT-DETECTED
dynamic_300	NOT-DETECTED
dynamic_310	NOT-DETECTED
dynamic_320	NOT-DETECTED
dynamic_330	NOT-DETECTED
dynamic_340	NOT-DETECTED
dynamic_350	NOT-DETECTED
dynamic_360	NOT-DETECTED
dynamic_370	NOT-DETECTED
dynamic_380	NOT-DETECTED
dynamic_390	NOT-DETECTED
dynamic_400	NOT-DETECTED
dynamic_410	NOT-DETECTED
dynamic_420	NOT-DETECTED
dynamic_1001	NOT-DETECTED
dynamic_1002	NOT-DETECTED
dynamic_1003	NOT-DETECTED
dynamic_1004	NOT-DETECTED
dynamic_1005	NOT-DETECTED
dynamic_1006	NOT-DETECTED
dynamic_1007	NOT-DETECTED
dynamic_1008	NOT-DETECTED
dynamic_1009	NOT-DETECTED
dynamic_1010	NOT-DETECTED
dynamic_1011	NOT-DETECTED
dynamic_1012	NOT-DETECTED
dynamic_1013	NOT-DETECTED
dynamic_1014	NOT-DETECTED
dynamic_1015	NOT-DETECTED
dynamic_1016	NOT-DETECTED
dynamic_1017	NOT-DETECTED
dynamic_1018	NOT-DETECTED
dynamic_1019	NOT-DETECTED
dynamic_1020	NOT-DETECTED
dynamic_1021	NOT-DETECTED
dynamic_1022	NOT-DETECTED
dynamic_1023	NOT-DETECTED
dynamic_1024	NOT-DETECTED
dynamic_1025	NOT-DETECTED
dynamic_1026	NOT-DETECTED
dynamic_1027	NOT-DETECTED
dynamic_1028	NOT-DETECTED
dynamic_1029	NOT-DETECTED
dynamic_1030	NOT-DETECTED
dynamic_1031	NOT-DETECTED
dynamic_1032	NOT-DETECTED
dynamic_1034	NOT-DETECTED
dynamic_1300	NOT-DETECTED
dynamic_1350	NOT-DETECTED
dynamic_1400	NOT-DETECTED
dynamic_1401	NOT-DETECTED
dynamic_1501	NOT-DETECTED
dynamic_1502	NOT-DETECTED
dynamic_1503	NOT-DETECTED
dynamic_1504	NOT-DETECTED
dynamic_1505	NOT-DETECTED
dynamic_1506	NOT-DETECTED
dynamic_1507	NOT-DETECTED
dynamic_1518	NOT-DETECTED
dynamic_1528	NOT-DETECTED
dynamic_1529	NOT-DETECTED
dynamic_1550	NOT-DETECTED
dynamic_1551	NOT-DETECTED
dynamic_1552	NOT-DETECTED
dynamic_1560	NOT-DETECTED
dynamic_1588	NOT-DETECTED
dynamic_1590	NOT-DETECTED
dynamic_1592	NOT-DETECTED
dynamic_1600	NOT-DETECTED
dynamic_1602	NOT-DETECTED
dynamic_1608	NOT-DETECTED
dynamic_2000	NOT-DETECTED
dynamic_2001	NOT-DETECTED
dynamic_2002	NOT-DETECTED
dynamic_2003	NOT-DETECTED
dynamic_2004	NOT-DETECTED
dynamic_2005	NOT-DETECTED
dynamic_2006	NOT-DETECTED
dynamic_2008	NOT-DETECTED
dynamic_2009	NOT-DETECTED
dynamic_2010	NOT-DETECTED
dynamic_2011	NOT-DETECTED
dynamic_2014	NOT-DETECTED
dummy	NOT-DETECTED
crypt	CRACKED
